model,category,domain,difficulty,agreement_rate,top_answer,top_answer_count,unique_answers,total_runs
claude-sonnet-4-5,Olympic sport,sports,easy,0.4,handball,4,3,10
claude-sonnet-4-5,animated TV show,film,easy,0.8,clone high,8,2,10
claude-sonnet-4-5,basketball player of all time,sports,easy,0.8,chauncey billups,8,3,10
claude-sonnet-4-5,board game,sports,medium,0.5,concordia,5,3,10
claude-sonnet-4-5,branch of philosophy,general,hard,1.0,philosophy of technology,10,1,10
claude-sonnet-4-5,career path,general,easy,0.2,actuary,2,8,10
claude-sonnet-4-5,cheese,food,medium,1.0,gruyère,10,1,10
claude-sonnet-4-5,chess opening,sports,hard,0.8,london system,8,3,10
claude-sonnet-4-5,city to visit in Europe,travel,easy,1.0,porto,10,1,10
claude-sonnet-4-5,classical composer,music,easy,0.7,carl philipp emanuel bach,7,4,10
claude-sonnet-4-5,coffee brewing method,food,medium,1.0,french press,10,1,10
claude-sonnet-4-5,country for solo travel,travel,medium,0.5,albania,5,3,10
claude-sonnet-4-5,cuisine,food,easy,0.6,ethiopian,6,3,10
claude-sonnet-4-5,documentary film,film,medium,0.7,senna,7,3,10
claude-sonnet-4-5,era in human history,general,medium,0.7,bronze age,7,2,10
claude-sonnet-4-5,film noir,film,hard,0.7,third man,7,2,10
claude-sonnet-4-5,graphic novel,literature,medium,0.8,daytripper,8,2,10
claude-sonnet-4-5,hip-hop producer,music,medium,0.9,j dilla,9,2,10
claude-sonnet-4-5,historical site,travel,medium,1.0,göbekli tepe,10,1,10
claude-sonnet-4-5,hobby for adults,general,easy,1.0,birdwatching,10,1,10
claude-sonnet-4-5,horror film director,film,medium,1.0,mike flanagan,10,1,10
claude-sonnet-4-5,invention of the 20th century,tech,easy,0.6,transistor,6,2,10
claude-sonnet-4-5,island destination,travel,medium,1.0,azores,10,1,10
claude-sonnet-4-5,jazz album,music,medium,0.7,speak no evil by wayne shorter,7,3,10
claude-sonnet-4-5,life skill to learn,general,easy,1.0,active listening,10,1,10
claude-sonnet-4-5,mathematical theorem,tech,hard,0.5,cayley-hamilton theorem,5,5,10
claude-sonnet-4-5,national park in the United States,travel,medium,1.0,great basin national park,10,1,10
claude-sonnet-4-5,non-fiction book,literature,medium,0.6,discoverers by daniel j. boorstin,6,5,10
claude-sonnet-4-5,novel of the 21st century,literature,medium,0.4,luminaries by eleanor catton,4,4,10
claude-sonnet-4-5,open-source software project,tech,medium,0.4,rsync,4,4,10
claude-sonnet-4-5,poet,literature,easy,0.7,gerard manley hopkins,7,2,10
claude-sonnet-4-5,programming language,tech,easy,0.5,elixir,5,4,10
claude-sonnet-4-5,rock band,music,easy,1.0,big star,10,1,10
claude-sonnet-4-5,sci-fi movie,film,easy,1.0,gattaca,10,1,10
claude-sonnet-4-5,scientific discovery,tech,medium,0.2,discovery of telomerase and telomeres' role in aging,2,8,10
claude-sonnet-4-5,short story writer,literature,medium,0.6,shirley jackson,6,4,10
claude-sonnet-4-5,singer-songwriter of the 2010s,music,medium,0.6,julien baker,6,2,10
claude-sonnet-4-5,spice,food,medium,0.7,sumac,7,2,10
claude-sonnet-4-5,vegetable,food,easy,0.4,rutabaga,4,3,10
