model,category,domain,difficulty,mean_pairwise_distance,num_unique
claude-sonnet-4-5,Olympic sport,sports,easy,0.3507366180419922,3
claude-sonnet-4-5,animated TV show,film,easy,0.8949808478355408,2
claude-sonnet-4-5,basketball player of all time,sports,easy,0.7933526039123535,3
claude-sonnet-4-5,board game,sports,medium,0.9650679230690002,3
claude-sonnet-4-5,branch of philosophy,general,hard,0.0,1
claude-sonnet-4-5,career path,general,easy,0.48326778411865234,8
claude-sonnet-4-5,cheese,food,medium,0.0,1
claude-sonnet-4-5,chess opening,sports,hard,0.7866420745849609,3
claude-sonnet-4-5,city to visit in Europe,travel,easy,0.0,1
claude-sonnet-4-5,classical composer,music,easy,0.7763091921806335,4
claude-sonnet-4-5,coffee brewing method,food,medium,0.0,1
claude-sonnet-4-5,country for solo travel,travel,medium,0.5278564095497131,3
claude-sonnet-4-5,cuisine,food,easy,0.6362349390983582,3
claude-sonnet-4-5,documentary film,film,medium,0.7184359431266785,3
claude-sonnet-4-5,era in human history,general,medium,0.1980506181716919,2
claude-sonnet-4-5,film noir,film,hard,0.8143755197525024,2
claude-sonnet-4-5,graphic novel,literature,medium,0.7991255521774292,2
claude-sonnet-4-5,hip-hop producer,music,medium,0.756720244884491,2
claude-sonnet-4-5,historical site,travel,medium,0.0,1
claude-sonnet-4-5,hobby for adults,general,easy,0.0,1
claude-sonnet-4-5,horror film director,film,medium,0.0,1
claude-sonnet-4-5,invention of the 20th century,tech,easy,0.8139561414718628,2
claude-sonnet-4-5,island destination,travel,medium,0.0,1
claude-sonnet-4-5,jazz album,music,medium,0.7521454691886902,3
claude-sonnet-4-5,life skill to learn,general,easy,0.0,1
claude-sonnet-4-5,mathematical theorem,tech,hard,0.7447896599769592,5
claude-sonnet-4-5,national park in the United States,travel,medium,0.0,1
claude-sonnet-4-5,non-fiction book,literature,medium,0.8055469393730164,5
claude-sonnet-4-5,novel of the 21st century,literature,medium,0.6499436497688293,4
claude-sonnet-4-5,open-source software project,tech,medium,0.8976040482521057,4
claude-sonnet-4-5,poet,literature,easy,0.5959500074386597,2
claude-sonnet-4-5,programming language,tech,easy,0.6856462955474854,4
claude-sonnet-4-5,rock band,music,easy,0.0,1
claude-sonnet-4-5,sci-fi movie,film,easy,0.0,1
claude-sonnet-4-5,scientific discovery,tech,medium,0.7808631062507629,8
claude-sonnet-4-5,short story writer,literature,medium,0.7314627170562744,4
claude-sonnet-4-5,singer-songwriter of the 2010s,music,medium,0.7144299149513245,2
claude-sonnet-4-5,spice,food,medium,0.7645902633666992,2
claude-sonnet-4-5,vegetable,food,easy,0.7704849243164062,3
claude-sonnet-4-5,video game of the 2010s,sports,medium,0.0,1
gemini-2.0-flash,Olympic sport,sports,easy,0.18274271488189697,2
gemini-2.0-flash,animated TV show,film,easy,0.8590871691703796,4
gemini-2.0-flash,basketball player of all time,sports,easy,0.6825743913650513,2
gemini-2.0-flash,board game,sports,medium,0.786460280418396,5
gemini-2.0-flash,branch of philosophy,general,hard,0.5271773934364319,2
gemini-2.0-flash,career path,general,easy,0.0,1
gemini-2.0-flash,cheese,food,medium,0.7491031289100647,5
gemini-2.0-flash,chess opening,sports,hard,0.7333054542541504,4
gemini-2.0-flash,city to visit in Europe,travel,easy,0.5323300361633301,2
gemini-2.0-flash,classical composer,music,easy,0.5585364699363708,4
gemini-2.0-flash,coffee brewing method,food,medium,0.850651204586029,2
gemini-2.0-flash,country for solo travel,travel,medium,0.0,1
gemini-2.0-flash,cuisine,food,easy,0.28239017724990845,2
gemini-2.0-flash,documentary film,film,medium,0.9256144762039185,6
gemini-2.0-flash,era in human history,general,medium,0.43333351612091064,3
gemini-2.0-flash,film noir,film,hard,0.7055715322494507,5
gemini-2.0-flash,graphic novel,literature,medium,0.7608727812767029,2
gemini-2.0-flash,hip-hop producer,music,medium,0.8058856129646301,2
gemini-2.0-flash,historical site,travel,medium,0.7325161695480347,2
gemini-2.0-flash,hobby for adults,general,easy,0.8341448903083801,3
gemini-2.0-flash,horror film director,film,medium,0.6899443864822388,2
gemini-2.0-flash,invention of the 20th century,tech,easy,0.7229427099227905,5
gemini-2.0-flash,island destination,travel,medium,0.0,1
gemini-2.0-flash,jazz album,music,medium,0.8397573232650757,2
gemini-2.0-flash,life skill to learn,general,easy,0.0,1
gemini-2.0-flash,mathematical theorem,tech,hard,0.8423854112625122,6
gemini-2.0-flash,national park in the United States,travel,medium,0.6434996128082275,2
gemini-2.0-flash,non-fiction book,literature,medium,0.849936306476593,6
gemini-2.0-flash,novel of the 21st century,literature,medium,0.0,1
gemini-2.0-flash,open-source software project,tech,medium,0.7718157172203064,6
gemini-2.0-flash,poet,literature,easy,0.8417921662330627,3
gemini-2.0-flash,programming language,tech,easy,0.725873589515686,2
gemini-2.0-flash,rock band,music,easy,0.0,1
gemini-2.0-flash,sci-fi movie,film,easy,0.8748016953468323,2
gemini-2.0-flash,scientific discovery,tech,medium,0.6227385997772217,6
gemini-2.0-flash,short story writer,literature,medium,0.0,1
gemini-2.0-flash,singer-songwriter of the 2010s,music,medium,0.7175768613815308,2
gemini-2.0-flash,spice,food,medium,0.7367908954620361,2
gemini-2.0-flash,vegetable,food,easy,0.7494617104530334,2
gemini-2.0-flash,video game of the 2010s,sports,medium,0.0,1
gpt-4.1,Olympic sport,sports,easy,0.08709228038787842,2
gpt-4.1,animated TV show,film,easy,0.6572844982147217,2
gpt-4.1,basketball player of all time,sports,easy,0.0,1
gpt-4.1,board game,sports,medium,0.0,1
gpt-4.1,branch of philosophy,general,hard,0.7149272561073303,4
gpt-4.1,career path,general,easy,0.6578755378723145,3
gpt-4.1,cheese,food,medium,0.5958167314529419,5
gpt-4.1,chess opening,sports,hard,0.5819715857505798,4
gpt-4.1,city to visit in Europe,travel,easy,0.6269646286964417,4
gpt-4.1,classical composer,music,easy,0.6664353609085083,4
gpt-4.1,coffee brewing method,food,medium,0.0,1
gpt-4.1,country for solo travel,travel,medium,0.5317416787147522,2
