category,model1,model2,jaccard,shared_answers,domain,difficulty
Olympic sport,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],sports,easy
Olympic sport,claude-sonnet-4-5,gpt-4.1,0.6666666666666666,"['handball', 'team handball']",sports,easy
Olympic sport,claude-sonnet-4-5,llama-4-maverick,0.0,[],sports,easy
Olympic sport,gemini-2.0-flash,gpt-4.1,0.0,[],sports,easy
Olympic sport,gemini-2.0-flash,llama-4-maverick,0.0,[],sports,easy
Olympic sport,gpt-4.1,llama-4-maverick,0.0,[],sports,easy
animated TV show,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],film,easy
animated TV show,claude-sonnet-4-5,gpt-4.1,0.0,[],film,easy
animated TV show,claude-sonnet-4-5,llama-4-maverick,0.0,[],film,easy
animated TV show,claude-sonnet-4-5,qwen3-235b,0.6666666666666666,"['gargoyles', 'clone high']",film,easy
animated TV show,gemini-2.0-flash,gpt-4.1,0.25,['owl house'],film,easy
animated TV show,gemini-2.0-flash,llama-4-maverick,0.0,[],film,easy
animated TV show,gemini-2.0-flash,qwen3-235b,0.0,[],film,easy
animated TV show,gpt-4.1,llama-4-maverick,0.0,[],film,easy
animated TV show,gpt-4.1,qwen3-235b,0.0,[],film,easy
animated TV show,llama-4-maverick,qwen3-235b,0.0,[],film,easy
basketball player of all time,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],sports,easy
basketball player of all time,claude-sonnet-4-5,gpt-4.1,0.0,[],sports,easy
basketball player of all time,claude-sonnet-4-5,llama-4-maverick,0.0,[],sports,easy
basketball player of all time,gemini-2.0-flash,gpt-4.1,0.5,['sidney moncrief'],sports,easy
basketball player of all time,gemini-2.0-flash,llama-4-maverick,0.0,[],sports,easy
basketball player of all time,gpt-4.1,llama-4-maverick,0.0,[],sports,easy
board game,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],sports,medium
board game,claude-sonnet-4-5,gpt-4.1,0.3333333333333333,['tigris & euphrates'],sports,medium
board game,claude-sonnet-4-5,llama-4-maverick,0.0,[],sports,medium
board game,gemini-2.0-flash,gpt-4.1,0.0,[],sports,medium
board game,gemini-2.0-flash,llama-4-maverick,0.0,[],sports,medium
board game,gpt-4.1,llama-4-maverick,0.0,[],sports,medium
branch of philosophy,claude-sonnet-4-5,gemini-2.0-flash,0.5,['philosophy of technology'],general,hard
branch of philosophy,claude-sonnet-4-5,gpt-4.1,0.3333333333333333,['philosophy of technology'],general,hard
branch of philosophy,claude-sonnet-4-5,llama-4-maverick,0.0,[],general,hard
branch of philosophy,gemini-2.0-flash,gpt-4.1,0.25,['philosophy of technology'],general,hard
branch of philosophy,gemini-2.0-flash,llama-4-maverick,0.0,[],general,hard
branch of philosophy,gpt-4.1,llama-4-maverick,0.0,[],general,hard
career path,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],general,easy
career path,claude-sonnet-4-5,gpt-4.1,0.0,[],general,easy
career path,claude-sonnet-4-5,llama-4-maverick,0.25,['actuary'],general,easy
career path,gemini-2.0-flash,gpt-4.1,0.0,[],general,easy
career path,gemini-2.0-flash,llama-4-maverick,0.0,[],general,easy
career path,gpt-4.1,llama-4-maverick,0.0,[],general,easy
cheese,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],food,medium
cheese,claude-sonnet-4-5,gpt-4.1,0.0,[],food,medium
cheese,claude-sonnet-4-5,llama-4-maverick,0.3333333333333333,['gruyère'],food,medium
cheese,gemini-2.0-flash,gpt-4.1,0.0,[],food,medium
cheese,gemini-2.0-flash,llama-4-maverick,0.0,[],food,medium
cheese,gpt-4.1,llama-4-maverick,0.0,[],food,medium
chess opening,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],sports,hard
chess opening,claude-sonnet-4-5,gpt-4.1,0.2,['london system'],sports,hard
chess opening,claude-sonnet-4-5,llama-4-maverick,0.0,[],sports,hard
chess opening,gemini-2.0-flash,gpt-4.1,0.0,[],sports,hard
chess opening,gemini-2.0-flash,llama-4-maverick,0.25,['scotch game'],sports,hard
chess opening,gpt-4.1,llama-4-maverick,0.0,[],sports,hard
city to visit in Europe,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],travel,easy
city to visit in Europe,claude-sonnet-4-5,gpt-4.1,0.0,[],travel,easy
city to visit in Europe,claude-sonnet-4-5,llama-4-maverick,0.0,[],travel,easy
city to visit in Europe,gemini-2.0-flash,gpt-4.1,0.0,[],travel,easy
city to visit in Europe,gemini-2.0-flash,llama-4-maverick,0.0,[],travel,easy
city to visit in Europe,gpt-4.1,llama-4-maverick,0.5,"['ljubljana', 'ghent']",travel,easy
classical composer,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],music,easy
classical composer,claude-sonnet-4-5,gpt-4.1,0.0,[],music,easy
classical composer,claude-sonnet-4-5,llama-4-maverick,0.0,[],music,easy
classical composer,claude-sonnet-4-5,qwen3-235b,0.2,['carl philipp emanuel bach'],music,easy
classical composer,gemini-2.0-flash,gpt-4.1,0.0,[],music,easy
classical composer,gemini-2.0-flash,llama-4-maverick,0.0,[],music,easy
classical composer,gemini-2.0-flash,qwen3-235b,0.0,[],music,easy
classical composer,gpt-4.1,llama-4-maverick,0.0,[],music,easy
classical composer,gpt-4.1,qwen3-235b,0.0,[],music,easy
classical composer,llama-4-maverick,qwen3-235b,0.0,[],music,easy
coffee brewing method,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],food,medium
coffee brewing method,claude-sonnet-4-5,gpt-4.1,0.0,[],food,medium
coffee brewing method,claude-sonnet-4-5,llama-4-maverick,0.0,[],food,medium
coffee brewing method,gemini-2.0-flash,gpt-4.1,0.5,['aeropress'],food,medium
coffee brewing method,gemini-2.0-flash,llama-4-maverick,0.0,[],food,medium
coffee brewing method,gpt-4.1,llama-4-maverick,0.0,[],food,medium
country for solo travel,claude-sonnet-4-5,gemini-2.0-flash,0.3333333333333333,['georgia'],travel,medium
country for solo travel,claude-sonnet-4-5,gpt-4.1,0.6666666666666666,"['slovenia', 'georgia']",travel,medium
country for solo travel,claude-sonnet-4-5,llama-4-maverick,0.3333333333333333,['slovenia'],travel,medium
country for solo travel,gemini-2.0-flash,gpt-4.1,0.5,['georgia'],travel,medium
country for solo travel,gemini-2.0-flash,llama-4-maverick,0.0,[],travel,medium
country for solo travel,gpt-4.1,llama-4-maverick,0.5,['slovenia'],travel,medium
cuisine,claude-sonnet-4-5,gemini-2.0-flash,0.25,['peruvian'],food,easy
cuisine,claude-sonnet-4-5,gpt-4.1,0.25,['georgian'],food,easy
cuisine,claude-sonnet-4-5,llama-4-maverick,0.25,['georgian'],food,easy
cuisine,gemini-2.0-flash,gpt-4.1,0.0,[],food,easy
cuisine,gemini-2.0-flash,llama-4-maverick,0.0,[],food,easy
cuisine,gpt-4.1,llama-4-maverick,0.3333333333333333,['georgian'],food,easy
documentary film,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],film,medium
documentary film,claude-sonnet-4-5,gpt-4.1,0.0,[],film,medium
documentary film,claude-sonnet-4-5,llama-4-maverick,0.0,[],film,medium
documentary film,claude-sonnet-4-5,qwen3-235b,0.2,['act of killing'],film,medium
documentary film,gemini-2.0-flash,gpt-4.1,0.0,[],film,medium
documentary film,gemini-2.0-flash,llama-4-maverick,0.0,[],film,medium
documentary film,gemini-2.0-flash,qwen3-235b,0.0,[],film,medium
documentary film,gpt-4.1,llama-4-maverick,0.0,[],film,medium
documentary film,gpt-4.1,qwen3-235b,0.2,['king of kong: a fistful of quarters'],film,medium
documentary film,llama-4-maverick,qwen3-235b,0.0,[],film,medium
era in human history,claude-sonnet-4-5,gemini-2.0-flash,0.25,['bronze age'],general,medium
era in human history,claude-sonnet-4-5,gpt-4.1,0.0,[],general,medium
era in human history,claude-sonnet-4-5,llama-4-maverick,0.0,[],general,medium
era in human history,gemini-2.0-flash,gpt-4.1,0.0,[],general,medium
era in human history,gemini-2.0-flash,llama-4-maverick,0.0,[],general,medium
era in human history,gpt-4.1,llama-4-maverick,0.0,[],general,medium
film noir,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],film,hard
film noir,claude-sonnet-4-5,gpt-4.1,0.0,[],film,hard
film noir,claude-sonnet-4-5,llama-4-maverick,0.3333333333333333,['big heat'],film,hard
film noir,claude-sonnet-4-5,qwen3-235b,0.0,[],film,hard
film noir,gemini-2.0-flash,gpt-4.1,0.2,['night and the city'],film,hard
film noir,gemini-2.0-flash,llama-4-maverick,0.25,['out of the past'],film,hard
film noir,gemini-2.0-flash,qwen3-235b,0.0,[],film,hard
film noir,gpt-4.1,llama-4-maverick,0.0,[],film,hard
film noir,gpt-4.1,qwen3-235b,0.2,['detour'],film,hard
film noir,llama-4-maverick,qwen3-235b,0.0,[],film,hard
graphic novel,claude-sonnet-4-5,gemini-2.0-flash,0.0,[],literature,medium
